price,area,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
3500000,12944,1,1,1,0,0,0,0,0,0,2
6020000,6800,1,1,1,1,1,0,0,2,0,0
3150000,3500,1,1,0,0,1,0,0,0,0,1
2940000,3150,1,2,0,0,0,0,0,0,0,2
5040000,10700,1,2,1,1,1,0,0,0,0,1
7420000,7440,2,1,1,1,1,0,1,0,1,1
3710000,6020,1,1,1,0,0,0,0,0,0,1
3360000,4960,1,3,0,0,0,0,0,0,0,1
8645000,8050,1,1,1,1,1,0,1,1,0,0
6230000,5500,1,3,1,0,0,0,0,1,1,2
5075000,5720,1,2,1,0,0,0,1,0,1,2
7700000,6480,2,4,1,0,0,0,1,2,0,2
1750000,3620,1,1,1,0,0,0,0,0,0,2
7840000,6360,2,4,1,0,0,0,1,0,1,0
2100000,3360,1,1,1,0,0,0,0,1,0,2
5040000,7600,1,2,1,0,0,0,1,2,0,0
4690000,5400,1,2,1,0,0,0,0,0,1,1
5943000,15600,1,1,1,0,0,0,1,2,0,1
4480000,4040,1,2,1,0,0,0,0,1,0,1
4403000,4880,1,1,1,0,0,0,0,2,1,2
2695000,4000,1,1,1,0,0,0,0,0,0,2
6300000,4100,2,3,1,0,0,0,1,2,0,1
8750000,4320,1,2,1,0,1,1,0,2,0,1
3570000,4500,1,1,0,0,0,0,0,0,0,0
3500000,4600,1,2,1,0,0,0,0,0,0,1
5215000,7200,1,2,1,1,1,0,0,1,1,0
5145000,3410,1,2,0,0,0,0,1,0,0,1
3710000,3584,1,1,1,0,0,1,0,0,0,1
3990000,4500,2,2,0,0,1,0,1,0,0,1
4900000,4120,1,1,1,0,1,0,0,1,0,1
13300000,7420,2,3,1,0,0,0,1,2,1,0
5600000,10500,2,2,1,0,0,0,0,1,0,1
4900000,4095,1,2,0,1,1,0,1,0,0,1
3920000,5500,1,2,1,1,1,0,0,0,0,1
4543000,4100,2,1,1,1,1,0,0,0,0,1
4200000,5800,1,1,1,0,0,1,0,2,0,1
5600000,6360,1,3,1,0,0,0,0,0,1,1
5950000,6540,1,1,1,1,1,0,0,2,1,0
2730000,6800,1,1,1,0,0,0,0,0,0,2
3465000,2145,1,3,1,0,0,0,0,0,1,0
3360000,3185,1,1,1,0,1,0,0,2,0,0
5243000,6050,1,1,1,0,1,0,0,0,1,1
3010000,3630,1,2,1,0,0,0,0,3,0,1
3360000,3100,1,2,0,0,1,0,0,0,0,1
2660000,3480,1,1,1,0,0,0,0,1,0,1
3010000,3090,1,2,0,0,0,0,0,0,0,1
4900000,4770,1,1,1,1,1,0,0,0,0,1
3633000,3520,1,1,1,0,0,0,0,2,1,2
2870000,3630,1,1,1,0,0,0,0,0,0,2
8400000,7000,1,4,1,0,0,0,1,2,0,1
4130000,4632,1,2,1,0,0,0,1,0,0,1
4690000,5170,1,4,1,0,0,0,1,0,0,1
8680000,7155,2,1,1,1,1,0,1,2,0,2
2240000,1950,1,1,0,0,0,1,0,0,0,2
1750000,3850,1,2,1,0,0,0,0,0,0,2
4620000,2870,1,2,1,1,1,0,0,0,1,1
3885000,3780,1,2,1,1,1,0,0,0,0,1
6650000,6000,2,3,1,1,0,0,1,0,0,0
4900000,6720,1,1,1,0,0,0,0,0,0,2
4130000,5985,1,1,1,0,1,0,0,0,0,1
4319000,4032,1,1,1,0,1,0,0,0,0,0
5950000,7231,1,2,1,1,1,0,1,0,1,1
4200000,2747,2,2,0,0,0,0,0,0,0,1
5460000,6210,1,4,1,1,0,0,1,0,0,0
3850000,2176,1,2,1,1,0,0,0,0,1,1
6419000,6750,1,1,1,1,1,0,0,2,1,0
4893000,3420,2,2,1,0,1,0,1,2,0,1
4060000,4992,2,2,1,0,0,0,0,2,0,2
2380000,2475,1,2,1,0,0,0,0,0,0,0
3080000,3090,1,1,1,1,1,0,0,0,0,2
7350000,6000,2,4,1,1,0,0,1,1,0,0
3115000,3000,1,1,0,0,0,0,1,0,0,2
4270000,6360,1,2,1,0,0,0,0,0,0,2
6300000,6000,2,4,1,0,0,0,0,1,0,1
1960000,3420,1,2,0,0,0,0,0,0,0,2
3850000,4080,1,1,1,0,0,0,0,0,0,1
4270000,7770,1,1,1,0,0,0,0,1,0,0
6195000,5500,2,1,1,1,1,0,0,2,1,0
4200000,7000,1,1,1,0,0,0,0,3,0,0
2940000,6615,1,2,1,0,0,0,0,0,0,1
2660000,3934,1,1,1,0,0,0,0,0,0,2
3087000,8100,1,1,1,0,0,0,0,1,0,2
3465000,3060,1,1,1,0,0,0,0,0,0,2
6650000,5700,1,1,1,1,1,0,1,2,1,0
3493000,4900,1,2,0,0,0,0,0,0,0,2
4403000,4920,1,2,1,0,0,0,0,1,0,1
3500000,3640,1,1,1,0,0,0,0,1,0,1
10150000,8580,3,4,1,0,0,0,1,2,1,1
2852500,5200,1,3,1,0,0,0,0,0,0,2
5600000,5500,2,2,1,0,0,0,0,1,0,1
4690000,9667,2,2,1,1,1,0,0,1,0,1
3990000,3960,1,2,1,0,0,0,0,0,0,0
6160000,4500,1,4,1,0,0,0,1,0,0,2
2660000,2000,1,2,1,0,0,0,0,0,0,1
3143000,4500,1,2,1,0,0,0,1,0,0,2
4620000,3880,2,2,1,0,1,0,0,2,0,1
5040000,3540,1,1,0,1,1,0,0,0,0,1
3325000,4775,1,2,1,0,0,0,0,0,0,2
5250000,9800,2,2,1,1,0,0,0,2,0,1
7980000,9000,2,4,1,0,0,0,1,2,0,0
3710000,4050,1,1,1,0,0,0,0,0,0,0
2233000,5300,1,1,0,0,0,0,1,0,1,2
5873000,5500,1,3,1,1,0,0,1,1,0,0
2100000,3000,1,2,1,0,0,0,0,0,0,2
4200000,2953,1,2,1,0,1,0,1,0,0,2
5383000,6450,2,1,1,1,1,1,0,0,0,2
4340000,6450,1,2,1,0,0,0,0,0,0,1
4165000,4840,1,2,1,0,0,0,0,1,0,1
1820000,3000,1,1,1,0,1,0,0,2,0,2
7962500,6000,1,4,1,1,0,0,1,2,0,2
3395000,3450,1,1,1,0,1,0,0,2,0,2
4543000,4990,2,2,1,1,1,0,0,0,1,0
4900000,12900,1,1,1,0,0,0,0,2,0,0
6440000,5000,1,2,1,0,0,0,1,0,0,1
9310000,6550,2,2,1,0,0,0,1,1,1,1
2870000,5400,1,2,1,0,0,0,0,0,0,2
2653000,4000,1,2,1,0,0,0,1,0,0,2
4060000,4320,1,2,1,0,0,0,0,2,1,0
8400000,7475,2,4,1,0,0,0,1,2,0,2
5600000,4700,1,2,1,1,1,0,1,1,0,0
4305000,4400,1,1,1,0,0,0,0,1,0,1
4473000,3510,1,2,1,0,0,0,0,0,0,1
5495000,2817,2,2,0,1,1,0,0,1,0,0
3395000,3640,1,1,1,0,0,0,0,0,0,0
3430000,2610,1,2,1,0,1,0,0,0,1,2
4767000,3420,2,2,1,0,0,0,0,0,0,1
4200000,5850,1,1,1,1,1,0,0,2,0,1
2835000,2640,1,1,0,0,0,0,0,1,0,0
3010000,3240,1,2,1,0,0,0,0,2,0,1
2940000,3480,1,2,0,0,0,0,0,1,0,1
5425000,6825,1,1,1,1,1,0,1,0,1,1
6615000,4000,2,2,1,0,1,0,1,1,0,1
3360000,3750,1,1,1,0,0,0,0,0,0,2
3080000,4960,1,1,1,0,1,0,1,0,0,2
8855000,6420,2,2,1,0,0,0,1,1,1,1
8400000,5500,2,2,1,0,1,0,1,1,1,1
2450000,7700,1,1,1,0,0,0,0,0,0,2
6755000,6000,2,4,1,0,0,0,1,0,0,2
6580000,6000,2,4,1,0,0,0,1,0,0,1
7350000,5150,2,4,1,0,0,0,1,2,0,1
5250000,5300,2,1,1,0,0,0,1,0,1,2
3640000,4130,2,2,1,0,0,0,0,2,0,1
3430000,3850,1,1,1,0,0,0,0,0,0,2
3150000,4095,1,1,1,0,0,0,0,2,0,1
2660000,2430,1,1,0,0,0,0,0,0,0,2
8295000,4880,2,2,1,0,0,0,1,1,1,0
3150000,1650,1,2,0,0,1,0,0,0,0,2
11410000,7420,1,2,1,1,1,0,1,2,0,0
4830000,4815,1,1,1,0,0,0,1,0,1,1
4585000,4000,1,2,1,0,0,0,0,1,0,0
4620000,5680,1,2,1,1,0,0,1,1,0,1
6510000,3760,1,2,1,0,0,1,0,2,0,1
5880000,6500,2,3,1,0,0,0,1,0,0,2
5600000,4800,2,3,0,0,1,1,0,0,0,2
5880000,7160,1,1,1,0,1,0,0,2,1,2
5565000,5400,1,2,1,1,1,0,1,0,1,0
3675000,5640,1,1,0,0,0,0,0,0,0,1
4585000,3840,1,2,1,0,0,0,0,1,1,1
6629000,6000,1,2,1,0,0,1,0,1,1,1
5950000,3700,1,2,1,1,0,0,1,0,0,0
8645000,4560,2,2,1,1,1,0,1,1,0,0
2975000,4352,1,2,0,0,0,0,0,1,0,2
4060000,4340,1,1,1,0,0,0,0,0,0,1
3570000,4500,2,2,1,0,1,0,0,2,0,0
7070000,8880,1,1,1,0,0,0,1,1,0,1
6107500,3240,1,3,1,0,0,0,0,1,0,1
3780000,5830,1,1,1,0,0,0,0,2,0,2
7560000,6000,2,4,1,0,0,0,1,1,0,0
6440000,8580,3,2,1,0,0,0,0,2,0,0
4655000,3745,1,2,1,0,1,0,0,0,0,0
3675000,3630,1,1,1,0,0,0,1,0,0,2
2660000,4000,1,1,1,0,0,0,0,0,0,1
3920000,3816,1,1,1,0,1,0,1,2,0,0
4795000,8100,1,4,1,0,1,0,1,2,0,1
5285000,4600,2,1,1,0,0,0,1,2,0,1
4753000,6440,1,1,1,0,0,0,1,3,0,1
10150000,16200,3,2,1,0,0,0,0,0,0,2
6020000,8000,1,1,1,1,1,0,1,2,1,1
2380000,2787,2,2,1,0,0,0,0,0,0,0
3815000,3150,2,1,0,0,1,0,0,0,0,1
4550000,5360,1,2,1,0,0,0,0,2,1,2
5740000,5400,2,2,1,0,0,0,1,2,0,2
3990000,4100,1,1,0,0,1,0,0,0,0,2
3423000,4040,1,1,1,0,0,0,0,0,0,2
3920000,3290,1,1,1,0,0,1,0,1,0,0
3010000,5076,1,1,0,0,0,0,0,0,0,2
3605000,4000,1,1,1,0,0,0,0,0,1,1
3080000,4500,1,2,1,0,0,1,0,1,0,1
4200000,4410,1,1,0,0,0,0,0,1,0,2
2604000,2910,1,1,0,0,0,0,0,0,0,2
3010000,2835,1,1,1,0,0,0,0,0,0,1
4795000,7000,1,2,1,0,1,0,0,0,0,2
4270000,6360,1,1,1,0,0,0,0,0,0,0
2835000,3300,1,2,0,0,0,0,0,1,0,1
3850000,2015,1,2,1,0,1,0,0,0,1,1
4690000,3630,1,2,1,0,0,0,0,2,0,1
9800000,13200,1,2,1,0,1,0,1,2,1,0
2450000,4840,1,2,1,0,0,0,0,0,0,2
8400000,7950,2,2,1,0,1,1,0,2,0,2
2730000,4000,1,2,1,0,0,0,0,1,0,2
4900000,3000,1,2,1,0,1,0,1,0,0,1
5950000,6525,2,4,1,0,0,0,0,1,0,0
6790000,12090,2,2,1,0,0,0,0,2,1,0
5460000,6100,1,3,1,1,0,0,1,0,1,1
5005000,8150,2,1,1,1,1,0,0,0,0,1
5740000,4640,1,2,1,0,0,0,0,1,0,1
3430000,4000,1,1,1,0,0,0,0,0,0,2
3150000,3069,1,1,1,0,0,0,0,1,0,2
6083000,4300,2,2,1,0,0,0,0,0,0,0
2660000,2800,1,1,1,0,0,0,0,0,0,2
6230000,6600,2,1,1,0,1,0,1,0,1,2
3045000,3800,1,1,1,0,0,0,0,0,0,2
3850000,3180,2,1,1,0,1,0,0,2,0,1
3115000,3850,1,2,1,0,0,0,0,0,0,2
3332000,2145,1,2,1,0,1,0,0,0,1,0
3220000,3120,1,2,0,0,0,0,0,0,0,0
6090000,6600,1,1,1,1,1,0,0,2,1,1
4270000,4360,1,2,1,0,0,0,0,0,0,0
4270000,4500,1,1,1,0,0,0,1,2,0,0
5110000,6100,1,1,1,0,1,0,1,0,1,1
5950000,6254,2,1,1,0,1,0,0,1,1,1
2940000,5850,1,2,1,0,1,0,0,1,0,2
6405000,4800,2,4,1,1,0,0,1,0,0,0
3150000,3450,1,2,1,0,1,0,0,0,0,1
4970000,4410,3,2,1,0,1,0,0,2,0,1
7070000,6240,2,2,1,0,0,0,1,1,0,0
2135000,3000,1,1,0,0,0,0,0,0,0,2
5250000,3800,1,2,1,1,1,0,0,1,1,2
3080000,2160,1,2,0,0,1,0,0,0,0,1
7560000,6000,2,3,1,0,0,0,1,0,0,1
4200000,2145,1,3,1,0,0,0,0,1,1,2
2800000,2650,1,2,1,0,1,0,0,1,0,2
5866000,4800,1,1,1,1,1,0,0,0,0,2
3010000,4600,1,1,1,0,0,0,0,0,0,0
7420000,7440,2,4,1,0,0,0,0,1,1,2
6300000,6400,1,1,1,1,1,0,1,1,1,1
4956000,2800,2,2,0,0,1,0,1,1,0,1
4830000,4160,1,3,1,0,0,0,0,0,0,2
4613000,4510,2,2,1,0,1,0,0,0,0,1
3500000,3512,1,1,1,0,0,0,0,1,1,2
1855000,2990,1,1,0,0,0,0,0,1,0,2
3150000,3986,2,1,0,1,1,0,0,1,0,2
7035000,6360,2,3,1,0,0,0,1,2,1,0
3500000,3650,1,2,1,0,0,0,0,0,0,2
5250000,6540,2,2,0,0,0,0,1,0,0,1
4550000,8400,1,4,1,0,0,0,0,3,0,2
4480000,8250,1,1,1,0,0,0,0,0,0,0
4515000,3450,1,2,1,0,1,0,0,1,0,1
4375000,3900,1,2,1,0,0,0,0,0,0,2
3290000,6060,1,1,1,1,1,0,0,0,0,0
1890000,1700,1,2,1,0,0,0,0,0,0,2
5530000,3300,3,2,1,0,1,0,0,0,0,1
2450000,3500,1,1,1,1,0,0,0,0,0,2
3640000,5960,1,2,1,1,1,0,0,0,0,2
7875000,6550,1,2,1,0,1,0,1,0,1,0
3290000,2145,1,2,1,0,1,0,0,0,1,0
3220000,2684,1,1,1,0,0,0,1,1,0,2
6930000,8880,2,2,1,0,1,0,1,1,0,0
4900000,5800,1,1,1,1,1,0,1,0,0,1
9870000,8100,1,2,1,1,1,0,1,2,1,0
6650000,6500,2,3,1,0,0,0,1,0,1,0
7210000,7680,2,4,1,1,0,0,1,1,0,1
4515000,3510,1,3,1,0,0,0,0,0,0,1
3465000,5320,1,1,1,0,0,0,0,1,1,2
3290000,5880,1,1,1,0,0,0,0,1,0,2
5950000,7020,1,1,1,0,1,0,1,2,1,1
2408000,3635,1,1,0,0,0,0,0,0,0,2
4060000,3000,1,3,1,0,1,0,1,2,0,1
3703000,3120,1,2,0,0,1,1,0,0,0,1
5652500,6660,2,2,1,1,1,0,0,1,1,1
6475000,7410,1,1,1,1,1,0,1,2,1,2
2450000,3240,1,1,0,1,0,0,0,1,0,2
4165000,4080,1,2,1,0,0,0,0,2,0,1
4200000,4079,1,3,1,0,0,0,0,0,0,1
4025000,5400,1,1,1,0,0,0,0,3,0,1
4480000,4510,1,2,1,0,0,0,1,2,0,1
3640000,3180,1,2,0,0,1,0,0,0,0,1
4025000,3630,2,2,1,0,0,1,0,2,0,1
7140000,6000,2,2,1,1,0,0,0,1,0,1
3780000,4820,1,2,1,0,0,0,0,0,0,1
3500000,3036,1,2,1,0,1,0,0,0,0,1
4007500,4500,1,2,0,0,1,0,1,0,0,1
3570000,3640,1,1,1,0,0,0,0,0,0,2
4480000,4000,1,2,1,0,0,0,0,2,0,0
4200000,3520,1,2,1,0,0,0,0,0,1,1
2275000,3970,1,2,1,0,1,0,0,0,0,2
4200000,4600,2,2,1,0,0,0,1,1,0,1
4095000,5600,1,1,1,0,0,0,1,0,0,1
2835000,4350,1,2,0,0,0,1,0,1,0,2
7525000,6000,2,4,1,0,0,0,1,1,0,0
6510000,6670,1,3,1,0,1,0,0,0,1,2
6090000,6615,2,2,1,1,0,1,0,1,0,1
3710000,4040,1,1,1,0,0,0,0,0,0,1
5810000,4800,1,3,1,0,0,0,1,0,0,2
9100000,6600,2,2,1,1,1,0,1,1,1,2
4200000,4500,1,1,1,0,1,0,0,0,0,0
5033000,4800,1,1,1,1,1,0,0,0,0,1
2450000,3210,1,2,1,0,1,0,0,0,0,2
6020000,6900,2,1,1,1,1,0,0,0,1,2
3773000,8250,1,1,1,0,0,0,0,2,0,0
3990000,4050,1,2,1,1,1,0,0,0,1,2
3675000,3630,1,1,1,0,1,0,0,0,0,0
3500000,9500,1,2,1,0,0,0,0,3,1,2
4200000,4000,2,2,0,0,0,0,0,0,0,1
8400000,8875,1,1,1,0,0,0,0,1,0,1
5740000,5800,2,4,1,0,0,0,1,0,0,2
4935000,5948,1,2,1,0,0,0,1,0,0,1
3640000,2850,2,2,0,0,1,0,0,0,1,2
9240000,7800,2,2,1,0,0,0,0,0,1,1
6475000,3960,1,1,1,0,1,0,0,2,0,1
4403000,2880,1,2,1,0,0,0,0,0,1,1
4445000,3750,1,1,1,1,1,0,0,0,0,1
4760000,9166,1,1,1,0,1,0,1,2,0,1
4550000,2550,1,2,1,0,1,0,0,0,0,0
4473000,6360,1,1,1,0,1,0,1,1,0,0
3500000,3600,1,2,1,0,0,0,0,1,0,2
3150000,9000,1,2,1,0,0,0,0,2,0,1
3780000,8400,1,1,1,0,0,0,0,1,0,0
6195000,6350,2,3,1,1,0,0,1,0,0,0
5600000,6600,2,1,1,0,1,0,0,0,1,1
5740000,6360,1,1,1,1,1,0,1,2,1,0
6895000,7700,2,1,1,0,0,0,0,2,0,2
12215000,7500,2,2,1,0,1,0,1,3,1,0
3850000,7152,1,2,1,0,0,0,1,0,0,0
3290000,3480,1,2,0,0,0,0,0,1,0,1
7343000,11440,1,2,1,0,1,0,0,1,1,1
4193000,8250,1,1,1,0,1,0,0,3,0,1
4620000,4160,1,1,1,1,1,0,1,0,0,2
3640000,3000,1,2,1,0,0,0,1,0,0,0
3325000,4040,1,1,1,0,0,0,0,1,0,2
7420000,6325,1,4,1,0,0,0,1,1,0,2
12250000,8960,4,4,1,0,0,0,1,3,0,0
8890000,4600,2,2,1,1,0,0,1,2,0,0
4382000,4950,1,2,1,0,0,0,1,0,0,1
4193000,3450,1,2,1,0,0,0,0,1,0,1
4098500,3600,1,1,1,0,1,0,1,0,1,0
3290000,3792,1,2,1,0,0,0,0,0,0,1
8540000,6540,2,2,1,1,1,0,1,2,1,0
5145000,7980,1,1,1,0,0,0,0,1,1,1
3773000,6930,1,2,0,0,0,0,0,1,0,0
5110000,11410,1,2,1,0,0,0,0,0,1,0
7700000,6000,2,4,1,0,0,0,0,2,0,1
5873000,11460,1,3,1,0,0,0,0,2,1,1
3129000,5495,1,1,1,0,1,0,0,0,0,2
3255000,4500,1,1,0,0,0,0,0,0,0,1
3115000,3500,1,1,1,0,0,0,0,0,0,2
3710000,3600,1,1,1,0,0,0,0,1,0,2
4550000,5320,1,2,1,1,1,0,0,0,1,1
4480000,5885,1,1,1,0,0,0,1,1,0,2
4340000,4500,2,3,1,0,0,1,0,1,0,0
3500000,2135,2,2,0,0,0,0,0,0,0,2
2345000,3640,1,1,1,0,0,0,0,0,0,2
5530000,3650,2,2,1,0,0,0,0,2,0,1
3640000,3570,1,2,1,0,1,0,0,0,0,1
1750000,2910,1,1,0,0,0,0,0,0,0,0
6790000,4000,2,2,1,0,1,0,1,0,1,1
2485000,4400,1,2,1,0,0,0,0,0,0,2
5495000,7980,1,1,1,0,0,0,0,2,0,1
2275000,1836,1,1,0,0,1,0,0,0,0,1
2590000,3600,1,1,1,0,0,0,0,0,0,2
4340000,1905,1,2,0,0,1,0,0,0,0,1
2870000,3040,1,1,0,0,0,0,0,0,0,2
5600000,10500,1,1,1,0,0,0,0,1,0,1
4900000,6300,1,1,1,0,0,0,1,2,0,1
4277000,3400,1,2,1,0,1,0,0,2,1,1
3500000,3480,1,1,0,0,0,0,1,0,0,2
4095000,4040,1,2,1,0,0,0,0,1,0,1
3360000,3500,1,2,1,0,0,0,1,2,0,2
3920000,7260,2,1,1,1,1,0,0,3,0,0
7000000,11175,1,1,1,0,1,0,1,1,1,0
4007500,3460,1,2,1,0,0,0,1,0,0,1
1890000,3649,1,1,1,0,0,0,0,0,0,2
3500000,4240,1,2,1,0,0,0,1,0,0,1
5250000,4260,1,2,1,0,1,0,1,0,0,0
6650000,6420,2,3,1,0,0,0,1,0,1,0
2940000,2700,1,1,0,0,0,0,0,0,0,0
4200000,2610,3,2,0,0,0,0,0,0,0,1
3430000,2145,1,3,1,0,0,0,0,0,1,0
3780000,3420,1,2,1,0,0,1,0,1,0,1
5950000,6420,1,1,1,0,1,0,1,0,1,0
4893000,4995,2,1,1,0,1,0,0,0,0,1
3780000,2856,1,3,1,0,0,0,0,0,1,0
3745000,3480,1,1,1,0,0,0,0,0,1,1
5215000,4500,2,1,0,0,1,0,1,2,0,1
3605000,4500,1,1,1,0,0,0,0,0,0,1
6265000,6000,1,3,1,1,1,0,0,0,1,2
5775000,6000,2,4,1,0,0,0,1,0,0,2
5250000,8520,1,1,1,0,0,0,1,2,0,0
2653000,3185,1,1,1,0,0,0,1,0,0,2
1767150,2400,1,1,0,0,0,0,0,0,0,1
7910000,6000,2,4,1,0,0,0,1,1,0,1
3850000,5300,2,2,1,0,0,0,0,0,0,1
12250000,9960,2,2,1,0,1,0,0,2,1,1
3150000,6750,1,1,1,0,0,0,0,0,0,1
6860000,6000,1,1,1,0,0,0,1,1,0,0
4900000,2970,1,3,1,0,0,0,0,0,0,1
3360000,4120,1,2,1,0,0,0,0,0,0,2
4515000,3520,1,2,1,0,0,0,0,0,1,0
3885000,3180,2,2,1,0,0,0,0,0,0,0
3430000,3185,1,1,1,0,0,0,0,2,0,2
6090000,8372,1,3,1,0,0,0,1,2,0,2
4760000,10240,1,1,1,0,0,0,1,2,1,2
6685000,6600,2,4,1,0,1,0,0,0,1,0
7490000,6600,1,4,1,0,0,0,1,3,1,0
6083000,9620,1,1,1,0,1,0,0,2,1,0
6300000,9000,1,1,1,0,1,0,0,1,1,0
4865000,4350,1,1,1,0,1,0,0,0,0,2
5950000,7320,2,2,1,0,0,0,0,0,0,0
6160000,5450,2,1,1,0,1,0,1,0,1,1
8960000,8500,2,4,1,0,0,0,1,2,0,0
6293000,6600,2,3,1,0,0,0,1,0,1,2
4025000,3460,2,1,1,0,1,0,1,1,0,0
3570000,3150,1,2,1,0,1,0,0,0,0,0
3703000,5450,1,1,1,0,0,0,0,0,0,0
2520000,2880,1,1,0,0,0,0,0,0,0,2
